Designator,Mid X,Mid Y,Rotation,Layer
D1,176.2125,-107.15625,180.0,bottom
D2,146.685,-107.15625,0.0,bottom
D3,152.4,-100.0125,90.0,bottom
D4,133.35,-121.44375,90.0,bottom
D5,152.4,-121.44375,90.0,bottom
D6,171.45,-121.44375,90.0,bottom
M1,134.0,-76.605,180.0,top
M2,190.5,-76.605,0.0,top
PICO1,156.75,-75.265,180.0,top
SW1,142.875,-97.63125,270.0,top
SW2,180.975,-97.63125,270.0,top
SW3,161.925,-95.54125,0.0,top
SW4,142.875,-114.59125,0.0,top
SW5,161.925,-114.59125,0.0,top
SW6,180.975,-114.59125,0.0,top
U1,183.005,-75.3,0.0,top
